forecast_month,product_type,month,season,previous_sales,stock_quantity,price,promotion,customer_order_quantity,previous_production_quantity,target_demand
2021-02,Body Wash,2,Dry-Q1,1058,328,3.92,0,838,1237,1112
2021-02,Laundry Detergent,2,Dry-Q1,1664,445,6.33,0,1141,1551,1636
2021-02,Shampoo,2,Dry-Q1,1275,328,4.45,1,1133,1341,1587
2021-03,Body Wash,3,Dry-Q1,1112,139,3.83,0,825,991,1156
2021-03,Laundry Detergent,3,Dry-Q1,1636,426,6.22,1,1248,1732,1727
2021-03,Shampoo,3,Dry-Q1,1587,417,4.37,1,1000,1636,1746
2021-04,Body Wash,4,Hot-Q2,1156,297,3.82,0,811,1293,1183
2021-04,Laundry Detergent,4,Hot-Q2,1727,427,6.22,0,1156,1831,1697
2021-04,Shampoo,4,Hot-Q2,1746,416,4.73,1,1005,1752,1727
2021-05,Body Wash,5,Hot-Q2,1183,194,3.66,0,775,1179,1112
2021-05,Laundry Detergent,5,Hot-Q2,1697,557,6.09,1,1259,1683,1956
2021-05,Shampoo,5,Hot-Q2,1727,334,4.5,1,950,1711,1686
2021-06,Body Wash,6,Hot-Q2,1112,324,3.85,1,983,1268,1116
2021-06,Laundry Detergent,6,Hot-Q2,1956,437,6.3,1,1174,1930,1870
2021-06,Shampoo,6,Hot-Q2,1686,398,4.7,0,898,1616,1533
2021-07,Body Wash,7,Wet-Q3,1116,233,3.98,0,897,1119,1200
2021-07,Laundry Detergent,7,Wet-Q3,1870,415,6.25,0,935,1827,1530
2021-07,Shampoo,7,Wet-Q3,1533,264,4.48,0,914,1590,1383
2021-08,Body Wash,8,Wet-Q3,1200,369,3.81,0,695,1213,1030
2021-08,Laundry Detergent,8,Wet-Q3,1530,462,6.31,0,1160,1609,1506
2021-08,Shampoo,8,Wet-Q3,1383,347,4.46,0,958,1307,1369
2021-09,Body Wash,9,Wet-Q3,1030,149,3.73,1,724,951,1182
2021-09,Laundry Detergent,9,Wet-Q3,1506,557,6.35,0,1104,1337,1422
2021-09,Shampoo,9,Wet-Q3,1369,305,4.49,0,1001,1248,1342
2021-10,Body Wash,10,Peak-Q4,1182,223,3.86,0,909,1180,1223
2021-10,Laundry Detergent,10,Peak-Q4,1422,525,6.24,0,1067,1419,1493
2021-10,Shampoo,10,Peak-Q4,1342,300,4.67,1,890,1363,1397
2021-11,Body Wash,11,Peak-Q4,1223,396,3.9,1,923,1163,1445
2021-11,Laundry Detergent,11,Peak-Q4,1493,408,6.23,1,1270,1471,1752
2021-11,Shampoo,11,Peak-Q4,1397,247,4.62,0,1021,1414,1489
2021-12,Body Wash,12,Peak-Q4,1445,115,4.01,0,781,1510,1386
2021-12,Laundry Detergent,12,Peak-Q4,1752,424,6.09,1,1411,1593,2014
2021-12,Shampoo,12,Peak-Q4,1489,376,4.6,0,1043,1576,1476
2022-01,Body Wash,1,Dry-Q1,1386,261,3.76,1,997,1497,1701
2022-01,Laundry Detergent,1,Dry-Q1,2014,480,6.35,0,1126,2021,1942
2022-01,Shampoo,1,Dry-Q1,1476,283,4.65,1,978,1394,1749
2022-02,Body Wash,2,Dry-Q1,1701,260,3.98,1,868,1700,1608
